state_name,year,ad_pct,anxiety_pct,depression_pct,STATEFP
Mississippi,2024,23.2,18.8,15,28
Missouri,2024,22.8,19.1,15.2,29
Montana,2024,21.7,18.5,12.2,30
Nebraska,2024,19.6,15.8,14.1,31
Nevada,2024,24.2,18.8,17.3,32
New Hampshire,2024,20.7,18.1,13.6,33
New Jersey,2024,20.7,18.7,14.6,34
New Mexico,2024,22.8,18,15.1,35
New York,2024,23.3,19.3,14.3,36
North Carolina,2024,18.9,15,12.3,37
North Dakota,2024,20.8,17.5,13,38
Ohio,2024,21.3,17.1,14.5,39
Oklahoma,2024,23.7,19.6,16.5,40
Oregon,2024,21.1,18.9,14.1,41
Pennsylvania,2024,21.8,19.4,11.9,42
Rhode Island,2024,27.3,22.8,15.5,44
South Carolina,2024,20,16.7,12.9,45
South Dakota,2024,15.1,13.3,10.1,46
Tennessee,2024,21.3,18.5,14.5,47
Texas,2024,20.6,15.9,15.1,48
Utah,2024,21.3,17.7,14.7,49
Vermont,2024,15.5,12.5,8.2,50
Virginia,2024,18.5,15.3,12,51
Washington,2024,23.5,19.3,15.7,53
West Virginia,2024,25.2,19,17.8,54
Wisconsin,2024,19,17,11.3,55
Wyoming,2024,25.8,19,18.6,56
